locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBPCHODK_00001	CDS	858				hypothetical protein
EBPCHODK_00002	CDS	654				hypothetical protein
EBPCHODK_00003	CDS	258	pemI			Antitoxin PemI
EBPCHODK_00004	CDS	333	pemK	3.1.-.-		Endoribonuclease PemK
EBPCHODK_00005	CDS	216				hypothetical protein
EBPCHODK_00006	CDS	534				hypothetical protein
EBPCHODK_00007	CDS	705				hypothetical protein
EBPCHODK_00008	CDS	123				hypothetical protein
EBPCHODK_00009	CDS	876	bla_1	3.5.2.6		Beta-lactamase Toho-1
EBPCHODK_00010	CDS	969				hypothetical protein
EBPCHODK_00011	CDS	1026	fiu		COG4774	Catecholate siderophore receptor Fiu
EBPCHODK_00012	CDS	705				hypothetical protein
EBPCHODK_00013	CDS	576				hypothetical protein
EBPCHODK_00014	CDS	705				hypothetical protein
EBPCHODK_00015	CDS	519				hypothetical protein
EBPCHODK_00016	CDS	417	fosA	2.5.1.18		Glutathione transferase FosA
EBPCHODK_00017	CDS	705				hypothetical protein
EBPCHODK_00018	CDS	723				hypothetical protein
EBPCHODK_00019	CDS	189				hypothetical protein
EBPCHODK_00020	CDS	516	tnpR_1			Transposon Tn3 resolvase
EBPCHODK_00021	CDS	861	bla_2	3.5.2.6		Beta-lactamase TEM
EBPCHODK_00022	CDS	756	rmtB	2.1.1.179		16S rRNA (guanine(1405)-N(7))-methyltransferase
EBPCHODK_00023	CDS	282				hypothetical protein
EBPCHODK_00024	CDS	705				hypothetical protein
EBPCHODK_00025	CDS	237				hypothetical protein
EBPCHODK_00026	CDS	282				hypothetical protein
EBPCHODK_00027	CDS	354	stbB			Protein StbB
EBPCHODK_00028	CDS	963	parM_1			Plasmid segregation protein ParM
EBPCHODK_00029	CDS	684	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
EBPCHODK_00030	CDS	222				hypothetical protein
EBPCHODK_00031	CDS	435				hypothetical protein
EBPCHODK_00032	CDS	828				hypothetical protein
EBPCHODK_00033	CDS	426	klcA_1			Antirestriction protein KlcA
EBPCHODK_00034	CDS	423				hypothetical protein
EBPCHODK_00035	CDS	192				hypothetical protein
EBPCHODK_00036	CDS	1668	ltrA_1		COG3344	Group II intron-encoded protein LtrA
EBPCHODK_00037	CDS	258				hypothetical protein
EBPCHODK_00038	CDS	231				hypothetical protein
EBPCHODK_00039	CDS	1362				hypothetical protein
EBPCHODK_00040	CDS	564	rsmA	2.1.1.-		Ribosomal RNA small subunit methyltransferase A
EBPCHODK_00041	CDS	456				hypothetical protein
EBPCHODK_00042	CDS	528	ssb_1			Plasmid-derived single-stranded DNA-binding protein
EBPCHODK_00043	CDS	234				hypothetical protein
EBPCHODK_00044	CDS	1422	spo0C_1		COG1475	Chromosome-partitioning protein Spo0J
EBPCHODK_00045	CDS	576				hypothetical protein
EBPCHODK_00046	CDS	435	psiB_1			Protein PsiB
EBPCHODK_00047	CDS	720				hypothetical protein
EBPCHODK_00048	CDS	216				hypothetical protein
EBPCHODK_00049	CDS	378				hypothetical protein
EBPCHODK_00050	CDS	297				hypothetical protein
EBPCHODK_00051	CDS	822				hypothetical protein
EBPCHODK_00052	CDS	648				hypothetical protein
EBPCHODK_00053	CDS	384	traM_1			Relaxosome protein TraM
EBPCHODK_00054	CDS	687	traJ_1			Protein TraJ
EBPCHODK_00055	CDS	228	traY			Relaxosome protein TraY
EBPCHODK_00056	CDS	366	traA_1			Pilin
EBPCHODK_00057	CDS	312				hypothetical protein
EBPCHODK_00058	CDS	567				hypothetical protein
EBPCHODK_00059	CDS	729				hypothetical protein
EBPCHODK_00060	CDS	1428				hypothetical protein
EBPCHODK_00061	CDS	591				hypothetical protein
EBPCHODK_00062	CDS	198				hypothetical protein
EBPCHODK_00063	CDS	252				hypothetical protein
EBPCHODK_00064	CDS	516	traV			Protein TraV
EBPCHODK_00065	CDS	222	traR			Protein TraR
EBPCHODK_00066	CDS	2628	traC			Protein TraC
EBPCHODK_00067	CDS	387				hypothetical protein
EBPCHODK_00068	CDS	633				hypothetical protein
EBPCHODK_00069	CDS	993				hypothetical protein
EBPCHODK_00070	CDS	309				hypothetical protein
EBPCHODK_00071	CDS	522				hypothetical protein
EBPCHODK_00072	CDS	639				hypothetical protein
EBPCHODK_00073	CDS	372				hypothetical protein
EBPCHODK_00074	CDS	423				hypothetical protein
EBPCHODK_00075	CDS	1851				hypothetical protein
EBPCHODK_00076	CDS	261				hypothetical protein
EBPCHODK_00077	CDS	744				hypothetical protein
EBPCHODK_00078	CDS	282	traQ			Protein TraQ
EBPCHODK_00079	CDS	546				hypothetical protein
EBPCHODK_00080	CDS	315				hypothetical protein
EBPCHODK_00081	CDS	393				hypothetical protein
EBPCHODK_00082	tRNA	72				tRNA-Thr(ggt)
EBPCHODK_00083	CDS	2817				hypothetical protein
EBPCHODK_00084	CDS	522	traS			Protein TraS
EBPCHODK_00085	CDS	732	ylpA			Lipoprotein YlpA
EBPCHODK_00086	CDS	738				hypothetical protein
EBPCHODK_00087	CDS	2226	traD			Coupling protein TraD
EBPCHODK_00088	CDS	5136	traI_1			Multifunctional conjugation protein TraI
EBPCHODK_00089	CDS	705				hypothetical protein
EBPCHODK_00090	CDS	930				hypothetical protein
EBPCHODK_00091	CDS	882	bla_3	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
EBPCHODK_00092	CDS	981				hypothetical protein
EBPCHODK_00093	CDS	396	tnpR_2			Transposon Tn3 resolvase
EBPCHODK_00094	CDS	705				hypothetical protein
EBPCHODK_00095	CDS	930				hypothetical protein
EBPCHODK_00096	CDS	882	bla_4	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
EBPCHODK_00097	CDS	981				hypothetical protein
EBPCHODK_00098	CDS	396	tnpR_3			Transposon Tn3 resolvase
EBPCHODK_00099	CDS	705				hypothetical protein
EBPCHODK_00100	CDS	930				hypothetical protein
EBPCHODK_00101	CDS	882	bla_5	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
EBPCHODK_00102	CDS	981				hypothetical protein
EBPCHODK_00103	CDS	396	tnpR_4			Transposon Tn3 resolvase
EBPCHODK_00104	CDS	705				hypothetical protein
EBPCHODK_00105	CDS	1191	tnsB			Transposon Tn7 transposition protein TnsB
EBPCHODK_00106	CDS	708			COG2200	putative signaling protein
EBPCHODK_00107	CDS	237				hypothetical protein
EBPCHODK_00108	CDS	363	mta		COG0789	HTH-type transcriptional activator mta
EBPCHODK_00109	CDS	1695	merA	1.16.1.1		Mercuric reductase
EBPCHODK_00110	CDS	462	merC			Mercuric transport protein MerC
EBPCHODK_00111	CDS	276	merP			Mercuric transport protein periplasmic component
EBPCHODK_00112	CDS	351	merT			Mercuric transport protein MerT
EBPCHODK_00113	CDS	435	merR			Mercuric resistance operon regulatory protein
EBPCHODK_00114	CDS	1005				hypothetical protein
EBPCHODK_00115	CDS	378				hypothetical protein
EBPCHODK_00116	CDS	1023				hypothetical protein
EBPCHODK_00117	CDS	1563	recF			DNA replication and repair protein RecF
EBPCHODK_00118	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
EBPCHODK_00119	CDS	231	vapB		COG4456	Antitoxin VapB
EBPCHODK_00120	CDS	945				hypothetical protein
EBPCHODK_00121	CDS	393				hypothetical protein
EBPCHODK_00122	CDS	522				hypothetical protein
EBPCHODK_00123	CDS	204				hypothetical protein
EBPCHODK_00124	CDS	1005				hypothetical protein
EBPCHODK_00125	CDS	780	xerD		COG4974	Tyrosine recombinase XerD
EBPCHODK_00126	CDS	258				hypothetical protein
EBPCHODK_00127	CDS	867	repE			Replication initiation protein
EBPCHODK_00128	CDS	612				hypothetical protein
EBPCHODK_00129	CDS	1206	parA_1			Plasmid partition protein A
EBPCHODK_00130	CDS	975	virB_1		COG1475	Virulence regulon transcriptional activator VirB
EBPCHODK_00131	CDS	1272	umuC_1		COG0389	Protein UmuC
EBPCHODK_00132	CDS	432	umuD_1	3.4.21.-	COG1974	Protein UmuD
EBPCHODK_00133	CDS	1488	ltrA_2		COG3344	Group II intron-encoded protein LtrA
EBPCHODK_00134	CDS	972	parM_2			Plasmid segregation protein ParM
EBPCHODK_00135	CDS	672				hypothetical protein
EBPCHODK_00136	CDS	231				hypothetical protein
EBPCHODK_00137	CDS	702	yhdJ_2	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
EBPCHODK_00138	CDS	222				hypothetical protein
EBPCHODK_00139	CDS	420				hypothetical protein
EBPCHODK_00140	CDS	768				hypothetical protein
EBPCHODK_00141	CDS	429	klcA_2			Antirestriction protein KlcA
EBPCHODK_00142	CDS	507				hypothetical protein
EBPCHODK_00143	CDS	192				hypothetical protein
EBPCHODK_00144	CDS	255	holE_1	2.7.7.7		DNA polymerase III subunit theta
EBPCHODK_00145	CDS	321				hypothetical protein
EBPCHODK_00146	CDS	228				hypothetical protein
EBPCHODK_00147	CDS	231				hypothetical protein
EBPCHODK_00148	CDS	1356				hypothetical protein
EBPCHODK_00149	CDS	564				hypothetical protein
EBPCHODK_00150	CDS	330				hypothetical protein
EBPCHODK_00151	CDS	543	ssb_2			Plasmid-derived single-stranded DNA-binding protein
EBPCHODK_00152	CDS	249				hypothetical protein
EBPCHODK_00153	CDS	2058	spo0C_2		COG1475	Chromosome-partitioning protein Spo0J
EBPCHODK_00154	CDS	432	psiB_2			Protein PsiB
EBPCHODK_00155	CDS	729				hypothetical protein
EBPCHODK_00156	CDS	327				hypothetical protein
EBPCHODK_00157	CDS	375				hypothetical protein
EBPCHODK_00158	CDS	153	flmC			Protein FlmC
EBPCHODK_00159	CDS	273				hypothetical protein
EBPCHODK_00160	CDS	351				hypothetical protein
EBPCHODK_00161	CDS	318				hypothetical protein
EBPCHODK_00162	CDS	357				hypothetical protein
EBPCHODK_00163	CDS	213				hypothetical protein
EBPCHODK_00164	CDS	225				hypothetical protein
EBPCHODK_00165	CDS	321				hypothetical protein
EBPCHODK_00166	CDS	279	higA1		COG1396	Antitoxin HigA1
EBPCHODK_00167	CDS	108	higA		COG5499	Antitoxin HigA
EBPCHODK_00168	CDS	822				hypothetical protein
EBPCHODK_00169	CDS	315				hypothetical protein
EBPCHODK_00170	CDS	486				hypothetical protein
EBPCHODK_00171	CDS	384	traM_2			Relaxosome protein TraM
EBPCHODK_00172	CDS	738	traJ_2			Protein TraJ
EBPCHODK_00173	CDS	369	traA_2			Pilin
EBPCHODK_00174	CDS	306				hypothetical protein
EBPCHODK_00175	CDS	387				hypothetical protein
EBPCHODK_00176	CDS	705				hypothetical protein
EBPCHODK_00177	CDS	375				hypothetical protein
EBPCHODK_00178	CDS	360				hypothetical protein
EBPCHODK_00179	CDS	324				hypothetical protein
EBPCHODK_00180	CDS	729				hypothetical protein
EBPCHODK_00181	CDS	432	psiB_3			Protein PsiB
EBPCHODK_00182	CDS	1299				hypothetical protein
EBPCHODK_00183	CDS	663	spo0C_3		COG1475	Chromosome-partitioning protein Spo0J
EBPCHODK_00184	CDS	231				hypothetical protein
EBPCHODK_00185	CDS	303				hypothetical protein
EBPCHODK_00186	CDS	153				hypothetical protein
EBPCHODK_00187	CDS	261	holE_2	2.7.7.7		DNA polymerase III subunit theta
EBPCHODK_00188	CDS	237				hypothetical protein
EBPCHODK_00189	CDS	192				hypothetical protein
EBPCHODK_00190	CDS	507				hypothetical protein
EBPCHODK_00191	CDS	780				hypothetical protein
EBPCHODK_00192	CDS	420				hypothetical protein
EBPCHODK_00193	CDS	222				hypothetical protein
EBPCHODK_00194	CDS	678	yhdJ_3	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
EBPCHODK_00195	CDS	672	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
EBPCHODK_00196	CDS	423	umuD_2	3.4.21.-	COG1974	Protein UmuD
EBPCHODK_00197	CDS	1272	umuC_2		COG0389	Protein UmuC
EBPCHODK_00198	CDS	972	virB_2		COG1475	Virulence regulon transcriptional activator VirB
EBPCHODK_00199	CDS	1206	parA_2			Plasmid partition protein A
EBPCHODK_00200	CDS	633	bin3_1			Putative transposon Tn552 DNA-invertase bin3
EBPCHODK_00201	CDS	201				hypothetical protein
EBPCHODK_00202	CDS	951	rpnA	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
EBPCHODK_00203	CDS	612				hypothetical protein
EBPCHODK_00204	CDS	396				hypothetical protein
EBPCHODK_00205	CDS	981				hypothetical protein
EBPCHODK_00206	CDS	411				hypothetical protein
EBPCHODK_00207	CDS	129				hypothetical protein
EBPCHODK_00208	CDS	564	htrC			Heat shock protein C
EBPCHODK_00209	CDS	705				hypothetical protein
EBPCHODK_00210	CDS	642	cmlA	2.3.1.28		Chloramphenicol acetyltransferase 2
EBPCHODK_00211	CDS	501				hypothetical protein
EBPCHODK_00212	CDS	705				hypothetical protein
EBPCHODK_00213	CDS	738	bin3_2			Putative transposon Tn552 DNA-invertase bin3
EBPCHODK_00214	CDS	225				hypothetical protein
EBPCHODK_00215	CDS	177				hypothetical protein
EBPCHODK_00216	CDS	1005				hypothetical protein
EBPCHODK_00217	CDS	2967				hypothetical protein
EBPCHODK_00218	CDS	705				hypothetical protein
EBPCHODK_00219	CDS	201	traI_2			Multifunctional conjugation protein TraI
EBPCHODK_00220	CDS	747				hypothetical protein
EBPCHODK_00221	CDS	561	finO			Fertility inhibition protein
EBPCHODK_00222	CDS	201				hypothetical protein
EBPCHODK_00223	CDS	600				hypothetical protein
EBPCHODK_00224	CDS	333				hypothetical protein
EBPCHODK_00225	CDS	150	pndA			Protein PndA
EBPCHODK_00226	CDS	249				hypothetical protein
