locus_tag	ftype	length_bp	gene	EC_number	COG	product
NAEAGNKB_00001	CDS	876	repB_1			RepFIB replication protein A
NAEAGNKB_00002	CDS	831				hypothetical protein
NAEAGNKB_00003	CDS	264				hypothetical protein
NAEAGNKB_00004	CDS	354				hypothetical protein
NAEAGNKB_00005	CDS	261				hypothetical protein
NAEAGNKB_00006	CDS	789				hypothetical protein
NAEAGNKB_00007	CDS	1272				hypothetical protein
NAEAGNKB_00008	CDS	1209				hypothetical protein
NAEAGNKB_00009	CDS	459				hypothetical protein
NAEAGNKB_00010	CDS	1356				hypothetical protein
NAEAGNKB_00011	CDS	483				hypothetical protein
NAEAGNKB_00012	CDS	858				hypothetical protein
NAEAGNKB_00013	CDS	951				hypothetical protein
NAEAGNKB_00014	CDS	2682	traC			Protein TraC
NAEAGNKB_00015	CDS	147				hypothetical protein
NAEAGNKB_00016	CDS	141				hypothetical protein
NAEAGNKB_00017	CDS	1254	parA			Plasmid partition protein A
NAEAGNKB_00018	CDS	1005	virB		COG1475	Virulence regulon transcriptional activator VirB
NAEAGNKB_00019	CDS	390				hypothetical protein
NAEAGNKB_00020	CDS	522				hypothetical protein
NAEAGNKB_00021	CDS	837				hypothetical protein
NAEAGNKB_00022	CDS	684				hypothetical protein
NAEAGNKB_00023	CDS	264				hypothetical protein
NAEAGNKB_00024	CDS	831				hypothetical protein
NAEAGNKB_00025	CDS	1590				hypothetical protein
NAEAGNKB_00026	CDS	555				hypothetical protein
NAEAGNKB_00027	CDS	426				hypothetical protein
NAEAGNKB_00028	CDS	453				hypothetical protein
NAEAGNKB_00029	CDS	969				hypothetical protein
NAEAGNKB_00030	CDS	639				hypothetical protein
NAEAGNKB_00031	CDS	1038	parM			Plasmid segregation protein ParM
NAEAGNKB_00032	CDS	120				hypothetical protein
NAEAGNKB_00033	CDS	831				hypothetical protein
NAEAGNKB_00034	CDS	264				hypothetical protein
NAEAGNKB_00035	CDS	114				hypothetical protein
NAEAGNKB_00036	CDS	2613				hypothetical protein
NAEAGNKB_00037	CDS	261				hypothetical protein
NAEAGNKB_00038	CDS	513				hypothetical protein
NAEAGNKB_00039	CDS	1302				hypothetical protein
NAEAGNKB_00040	CDS	135				hypothetical protein
NAEAGNKB_00041	CDS	1059				hypothetical protein
